ARMSno,TIN,chlA,TEMP,OP,Eco
HK61,0.306446999,4.087160587,24.26412201,0.010248883,54.92827225
HK63,0.06306842,0.76235193,22.90353775,0.006199031,26.01707649
HK65,0.05412541,1.745984674,24.49773216,0.003955424,2.739429235
HK67,0.070819326,3.330959082,23.89958763,0.004063552,23.96200943
HK69,0.231334999,2.167588711,23.79574585,0.011813265,411.5146484
HK70,0.231334999,2.167588711,23.79574585,0.011813265,411.5146484
HK73,0.06306842,0.76235193,22.90353775,0.006199031,26.01707649
HK75,0.05412541,1.745984674,24.49773216,0.003955424,2.739429235
HK79,0.08050213,1.747350454,22.89172554,0.00551344,27.05553436
HK80,0.070819326,3.330959082,23.89958763,0.004063552,23.96200943
HK81,0.08050213,1.747350454,22.89172554,0.00551344,27.05553436
HK83,0.142048776,1.867303967,23.49947739,0.006598867,75.45256042
HK85,0.241308123,3.542788267,25.74603844,0.004622995,41.16392136
HK88,0.306446999,4.087160587,24.26412201,0.010248883,54.92827225
HK58,0.168640702,1.602434317,23.07818985,0.008356113,270.8363729
HK62,0.261056501,2.057030726,22.47848701,0.009214888,302.5516952
HK64,0.113315395,1.010410168,22.60670376,0.006422838,143.7502765
HK66,0.105204598,1.87022187,23.53804874,0.005359196,31.09872531
HK68,0.132162863,2.227028955,23.19470406,0.005453713,308.3774918
HK71,0.224060838,1.70523637,23.05340576,0.009862458,621.5175753
HK72,0.224060838,1.70523637,23.05340576,0.009862458,621.5175753
HK74,0.074733052,0.813364931,22.15148067,0.005812941,31.19988197
HK76,0.069383871,1.505500371,23.08282566,0.0048503,6.749736992
HK77,0.081030376,1.39508414,22.46469975,0.005560404,32.57961771
HK78,0.081030376,1.39508414,22.46469975,0.005560404,32.57961771
HK82,0.087163215,1.792724688,22.73948097,0.004935843,66.93094148
HK84,0.111220848,1.289935433,22.62296677,0.007562637,58.78293295
HK86,0.161430621,1.002228153,22.9861927,0.008415325,20.66889565
HK87,0.172170331,1.65587868,22.02326393,0.008339865,65.66649754
