Community,site,Richness.x,TotalAbundance,UniqueOTUs,SharingProp.50,SourceIndex,Degree,Strength,cluster,deployDate,sampledDate,phase,latitude,longitude,fullFrac,meanTPC,tpcIndex,Arthropoda,Annelida,Bacillariophyta,Rhodophyta,Mollusca,Porifera,Cnidaria,unAssigned,Assigned,perArthropoda,perAnnelida,perBacillariophyta,perRhodophyta,perMollusca,perPorifera,perCnidaria,Evenness
HK19,BI,661,270021,29,0.220877458,3.46321417,29,10.07370994,1,1/1/18,1/1/19,lgoWin,22.32493369,114.3542434,yes,513.6666667,1.286826736,85,76,43,29,25,23,14,301,360,0.236111111,0.211111111,0.119444444,0.080555556,0.069444444,0.063888889,0.038888889,0.864370871
HK2,PI,688,270801,36,0.212209302,4.329169479,40,12.78322421,1,5/1/15,10/1/17,toloARMS,22.501722,114.356639,yes,459,1.498910675,60,72,44,41,28,43,31,294,394,0.152284264,0.182741117,0.111675127,0.104060914,0.07106599,0.109137056,0.078680203,0.868500463
HK20,BI,609,317563,36,0.205254516,2.206368786,23,6.825373479,1,1/1/18,1/1/19,lgoWin,22.32493369,114.3542434,yes,513.6666667,1.18559377,62,59,25,39,23,17,9,319,290,0.213793103,0.203448276,0.086206897,0.134482759,0.079310345,0.05862069,0.031034483,0.849131741
HK21,BI,666,271906,78,0.187687688,2.965101738,30,9.320561868,1,1/1/18,1/1/19,lgoWin,22.32493369,114.3542434,yes,513.6666667,1.296560675,62,64,41,57,19,12,8,331,335,0.185074627,0.191044776,0.12238806,0.170149254,0.056716418,0.035820896,0.023880597,0.851007288
HK22,CDA,693,245486,69,0.19047619,1.720985235,20,5.438508966,3,1/1/18,1/1/19,lgoWin,22.20715,114.256385,yes,513.6666667,1.349123945,94,70,24,44,25,13,23,343,350,0.268571429,0.2,0.068571429,0.125714286,0.071428571,0.037142857,0.065714286,0.885884416
HK23,CDA,620,310743,34,0.224193548,3.506731962,32,10.25934747,3,1/1/18,1/1/19,lgoWin,22.20715,114.256385,yes,513.6666667,1.207008436,84,70,33,25,30,13,17,294,326,0.257668712,0.214723926,0.101226994,0.076687117,0.09202454,0.039877301,0.052147239,0.858490928
HK24,CDA,435,322339,14,0.273563218,1.688768692,15,4.269112306,3,1/1/18,1/1/19,lgoWin,22.20715,114.256385,yes,513.6666667,0.846852693,60,54,30,29,18,9,10,188,247,0.24291498,0.218623482,0.12145749,0.117408907,0.072874494,0.036437247,0.04048583,0.826747655
HK25,SW,712,327517,49,0.207865169,4.934793158,50,14.62266879,3,1/1/18,1/1/19,lgoWin,22.1885194,114.1347333,yes,513.6666667,1.386112914,75,77,27,36,35,14,17,361,351,0.213675214,0.219373219,0.076923077,0.102564103,0.0997151,0.03988604,0.048433048,0.857496193
HK27,SW,623,265309,37,0.231139647,3.731989764,38,10.76709928,3,1/1/18,1/1/19,lgoWin,22.1885194,114.1347333,yes,513.6666667,1.212848799,90,70,38,28,25,8,22,275,348,0.25862069,0.201149425,0.109195402,0.08045977,0.07183908,0.022988506,0.063218391,0.850353279
HK28,SSW,325,288443,19,0.178461538,0.541897762,8,3.348722266,4,1/1/18,1/1/19,lgoWin,22.28143354,113.8922288,yes,513.6666667,0.632706035,49,58,9,1,23,13,21,121,204,0.240196078,0.284313725,0.044117647,0.004901961,0.112745098,0.06372549,0.102941176,0.839029654
HK29,SSW,365,326804,43,0.183561644,0.751805066,10,3.734556565,4,1/1/18,1/1/19,lgoWin,22.28143354,113.8922288,yes,513.6666667,0.710577547,45,51,7,1,20,12,24,174,191,0.235602094,0.267015707,0.036649215,0.005235602,0.104712042,0.062827225,0.12565445,0.817886253
HK3,PI,630,200912,46,0.220634921,2.722465532,28,7.955842616,1,5/1/15,10/1/17,toloARMS,22.501722,114.356639,yes,459,1.37254902,51,70,31,45,32,49,26,269,361,0.141274238,0.193905817,0.085872576,0.12465374,0.088642659,0.135734072,0.072022161,0.884365834
HK30,SSW,315,305226,16,0.184126984,0.644937681,9,3.560486405,4,1/1/18,1/1/19,lgoWin,22.28143354,113.8922288,yes,513.6666667,0.613238157,43,57,6,1,19,11,28,118,197,0.218274112,0.289340102,0.030456853,0.005076142,0.096446701,0.055837563,0.14213198,0.828988173
HK31,PC,416,331796,21,0.237980769,1.401203313,14,4.27871344,4,1/1/18,1/1/19,lgoWin,22.28991,114.034393,yes,513.6666667,0.809863725,59,67,16,11,22,10,12,174,242,0.243801653,0.276859504,0.066115702,0.045454545,0.090909091,0.041322314,0.049586777,0.836181961
HK32,PC,466,319182,20,0.221030043,1.7408795,18,5.524996906,4,1/1/18,1/1/19,lgoWin,22.28991,114.034393,yes,513.6666667,0.907203115,73,76,5,9,24,22,20,188,278,0.262589928,0.273381295,0.017985612,0.032374101,0.086330935,0.079136691,0.071942446,0.860429562
HK33,PC,479,284042,29,0.227557411,1.694655673,17,5.195970263,4,1/1/18,1/1/19,lgoWin,22.28991,114.034393,yes,513.6666667,0.932511356,73,72,7,6,17,13,24,207,272,0.268382353,0.264705882,0.025735294,0.022058824,0.0625,0.047794118,0.088235294,0.862989831
HK34,CI,636,307549,47,0.187106918,1.754947179,17,5.799004022,2,7/1/18,7/1/19,logSum,22.437247,114.221305,yes,633,1.004739336,68,65,26,15,62,25,17,283,353,0.192634561,0.184135977,0.073654391,0.042492918,0.175637394,0.07082153,0.04815864,0.871163357
HK35,CI,672,238020,68,0.186011905,1.297167815,12,4.335856975,2,7/1/18,7/1/19,logSum,22.437247,114.221305,yes,633,1.061611374,72,68,31,10,53,27,28,302,370,0.194594595,0.183783784,0.083783784,0.027027027,0.143243243,0.072972973,0.075675676,0.879609807
HK36,CI,493,234702,27,0.221095335,2.721387022,27,8.378938547,2,7/1/18,7/1/19,logSum,22.437247,114.221305,yes,633,0.778830964,59,53,23,4,40,23,16,223,270,0.218518519,0.196296296,0.085185185,0.014814815,0.148148148,0.085185185,0.059259259,0.863667719
HK37,TPC,678,277129,41,0.218289086,3.862163077,35,11.27539743,1,7/1/18,7/1/19,logSum,22.542789,114.43738,yes,633,1.071090047,94,64,36,37,34,23,18,304,374,0.251336898,0.171122995,0.096256684,0.098930481,0.090909091,0.061497326,0.048128342,0.860916158
HK38,TPC,570,258828,23,0.231578947,2.003383823,17,5.740254419,1,7/1/18,7/1/19,logSum,22.542789,114.43738,yes,633,0.900473934,77,62,23,30,26,23,13,260,310,0.248387097,0.2,0.074193548,0.096774194,0.083870968,0.074193548,0.041935484,0.85177972
HK39,TPC,651,326993,39,0.195084485,1.715468136,17,5.450752342,1,7/1/18,7/1/19,logSum,22.542789,114.43738,yes,633,1.028436019,87,67,23,33,24,15,17,324,327,0.266055046,0.204892966,0.070336391,0.100917431,0.073394495,0.04587156,0.051987768,0.848770495
HK4,CLP,407,145107,18,0.297297297,2.049617633,16,4.899512335,2,5/1/15,10/1/17,toloARMS,22.46660942,114.2833515,no500,459,0.88671024,30,49,18,22,15,27,11,208,199,0.150753769,0.246231156,0.090452261,0.110552764,0.075376884,0.135678392,0.055276382,0.854678534
HK40,BI,1066,281562,140,0.150093809,4.911978341,48,14.74336195,1,7/1/18,7/1/19,logSum,22.32493369,114.3542434,yes,633,1.684044234,87,94,66,63,41,31,24,559,507,0.171597633,0.185404339,0.130177515,0.124260355,0.08086785,0.061143984,0.047337278,0.878938792
HK41,BI,650,220043,48,0.212307692,3.007690438,30,8.93770837,1,7/1/18,7/1/19,logSum,22.32493369,114.3542434,yes,633,1.02685624,84,61,26,48,32,13,8,332,318,0.264150943,0.191823899,0.081761006,0.150943396,0.100628931,0.040880503,0.025157233,0.865485399
HK42,BI,465,183377,32,0.23655914,2.331767164,24,6.946595421,1,7/1/18,7/1/19,logSum,22.32493369,114.3542434,noSes,633,0.734597156,65,63,15,33,30,6,4,224,241,0.269709544,0.261410788,0.062240664,0.136929461,0.124481328,0.024896266,0.01659751,0.863172601
HK43,CDA,724,192343,50,0.211325967,3.299450536,31,9.59942958,3,7/1/18,7/1/19,logSum,22.20715,114.256385,yes,633,1.143759874,110,90,22,27,34,13,26,349,375,0.293333333,0.24,0.058666667,0.072,0.090666667,0.034666667,0.069333333,0.877323543
HK44,CDA,639,242997,42,0.222222222,2.815019456,27,8.168597371,3,7/1/18,7/1/19,logSum,22.20715,114.256385,yes,633,1.009478673,88,82,16,20,26,11,16,331,308,0.285714286,0.266233766,0.051948052,0.064935065,0.084415584,0.035714286,0.051948052,0.859301185
HK45,CDA,906,267498,88,0.188741722,2.282844194,22,6.484486823,3,7/1/18,7/1/19,logSum,22.20715,114.256385,yes,633,1.431279621,105,100,34,25,44,15,30,452,454,0.231277533,0.220264317,0.074889868,0.055066079,0.0969163,0.033039648,0.066079295,0.874855576
HK46,SW,933,259209,77,0.186495177,4.864526714,46,14.19469157,3,7/1/18,7/1/19,logSum,22.1885194,114.1347333,yes,633,1.473933649,112,88,35,32,46,27,31,480,453,0.247240618,0.194260486,0.077262693,0.070640177,0.101545254,0.059602649,0.068432671,0.884390381
HK47,SW,1226,219733,181,0.141924959,2.994839868,31,8.668124355,3,7/1/18,7/1/19,logSum,22.1885194,114.1347333,yes,633,1.936808847,111,99,74,63,48,41,42,603,623,0.178170144,0.158908507,0.118780096,0.101123596,0.077046549,0.065810594,0.06741573,0.898220609
HK48,SW,1127,254806,105,0.15350488,4.386584471,44,12.89486329,1,7/1/18,7/1/19,logSum,22.1885194,114.1347333,yes,633,1.780410742,113,109,68,49,45,39,75,511,616,0.183441558,0.176948052,0.11038961,0.079545455,0.073051948,0.063311688,0.121753247,0.890564413
HK49,PC,374,126395,24,0.221925134,0.601491652,8,2.379763093,4,7/1/18,7/1/19,logSum,22.28991,114.034393,noSes,633,0.590837283,73,58,13,4,14,5,10,166,208,0.350961538,0.278846154,0.0625,0.019230769,0.067307692,0.024038462,0.048076923,0.861345868
HK5,CLP,412,230865,14,0.29368932,1.391819376,10,2.992480634,2,5/1/15,10/1/17,toloARMS,22.46660942,114.2833515,yes,459,0.897603486,38,53,11,16,20,30,16,198,214,0.177570093,0.247663551,0.051401869,0.074766355,0.093457944,0.140186916,0.074766355,0.833852658
HK50,PC,313,124025,10,0.233226837,0.104133835,2,0.824375752,4,7/1/18,7/1/19,logSum,22.28991,114.034393,noSes,633,0.494470774,54,59,6,1,13,2,14,133,180,0.3,0.327777778,0.033333333,0.005555556,0.072222222,0.011111111,0.077777778,0.851619434
HK51,PC,780,194661,126,0.147435897,1.149488239,15,4.428456408,4,7/1/18,7/1/19,logSum,22.28991,114.034393,yes,633,1.232227488,73,79,22,14,34,10,21,453,327,0.22324159,0.241590214,0.067278287,0.042813456,0.103975535,0.03058104,0.064220183,0.881317614
HK52,SSW,332,153065,53,0.087349398,-0.356871751,7,2.708563202,4,7/1/18,7/1/19,logSum,22.28143354,113.8922288,noSes,633,0.524486572,45,31,11,3,27,5,26,135,197,0.228426396,0.157360406,0.055837563,0.015228426,0.137055838,0.025380711,0.131979695,0.84390975
HK53,SSW,680,184578,218,0.077941176,0.141648161,8,3.30912181,4,7/1/18,7/1/19,logSum,22.28143354,113.8922288,yes,633,1.074249605,64,58,16,7,38,8,26,390,290,0.220689655,0.2,0.055172414,0.024137931,0.131034483,0.027586207,0.089655172,0.868170451
HK54,SSW,633,188377,101,0.146919431,0.636477031,9,3.369924776,4,7/1/18,7/1/19,logSum,22.28143354,113.8922288,yes,633,1,62,55,15,7,32,9,33,341,292,0.212328767,0.188356164,0.051369863,0.023972603,0.109589041,0.030821918,0.113013699,0.863778486
HK55,TPC,1339,458807,90,0.140403286,4.96089749,44,14.24070118,3,6/2/20,6/25/21,p1,22.542789,114.43738,yes,1387.5,0.965045045,199,138,45,67,68,47,42,568,771,0.258106355,0.178988327,0.058365759,0.08690013,0.088197147,0.060959792,0.054474708,0.893554872
HK56,TPC,1436,512928,105,0.128830084,4.606332151,41,13.13172392,3,6/2/20,6/25/21,p1,22.542789,114.43738,yes,1387.5,1.034954955,214,133,64,72,73,40,48,587,849,0.252061249,0.156654888,0.075382803,0.084805654,0.08598351,0.047114252,0.056537102,0.893640427
HK57,LM,1052,465816,72,0.172053232,4.202427215,37,12.15840558,3,6/2/20,6/1/22,p2,22.220233,114.127634,yes,1217,0.864420707,169,101,36,67,60,51,25,430,622,0.27170418,0.162379421,0.057877814,0.107717042,0.096463023,0.081993569,0.040192926,0.874092391
HK58,TPC,1194,418095,94,0.14321608,2.914221295,25,8.498849644,1,6/2/20,1/9/23,p3,22.542789,114.43738,yes,1050.142857,1.136988165,111,96,136,77,41,47,48,500,694,0.159942363,0.13832853,0.195965418,0.110951009,0.05907781,0.067723343,0.069164265,0.888865207
HK59,CC,840,477574,76,0.173809524,1.539364442,16,4.805129868,4,6/2/20,6/13/22,p2,22.214678,114.030886,yes,1217,0.690221857,144,105,19,15,41,46,35,310,530,0.271698113,0.198113208,0.035849057,0.028301887,0.077358491,0.086792453,0.066037736,0.852365573
HK6,CLP,609,307655,48,0.229885057,2.419813226,22,6.90382965,2,5/1/15,10/1/17,toloARMS,22.46660942,114.2833515,yes,459,1.326797386,54,74,30,26,28,38,28,294,315,0.171428571,0.234920635,0.095238095,0.082539683,0.088888889,0.120634921,0.088888889,0.849373642
HK61,PC,905,469314,62,0.184530387,2.45010799,24,7.085536654,4,6/2/20,6/16/22,p2,22.28991,114.034393,yes,1217,0.743631882,134,108,31,23,41,39,50,366,539,0.248608534,0.200371058,0.057513915,0.042671614,0.07606679,0.072356215,0.092764378,0.864167901
HK62,TPC,1014,356642,69,0.16469428,4.430779327,39,13.13250166,1,6/2/20,1/10/23,p3,22.542789,114.43738,yes,1050.142857,0.965582914,119,80,104,99,45,32,40,367,647,0.183925811,0.123647604,0.160741886,0.15301391,0.069551777,0.049459042,0.061823802,0.890656913
HK63,NP,1246,560564,152,0.138844302,4.452377391,41,13.04724207,1,6/2/20,6/9/22,p2,22.259332,114.350815,yes,1217,1.023829088,157,102,50,97,52,50,48,544,702,0.223646724,0.145299145,0.071225071,0.138176638,0.074074074,0.071225071,0.068376068,0.869834757
HK64,TPC,1005,396620,50,0.185074627,3.387183088,26,9.565489312,1,6/2/20,1/12/23,p3,22.542789,114.43738,yes,1050.142857,0.957012651,125,94,85,62,46,44,42,403,602,0.207641196,0.156146179,0.141196013,0.102990033,0.07641196,0.073089701,0.069767442,0.877760477
HK65,SK,1212,408188,123,0.132013201,1.080392851,11,3.195532451,4,6/2/20,6/6/22,p2,22.369821,114.324038,yes,1217,0.995891537,136,92,126,85,61,45,33,503,709,0.191819464,0.129760226,0.177715092,0.119887165,0.086036671,0.063469676,0.046544429,0.892028933
HK66,TPC,1196,309974,86,0.139632107,4.64335385,44,13.76162852,1,6/2/20,1/12/23,p3,22.542789,114.43738,yes,1050.142857,1.138892668,130,83,152,69,44,49,30,499,697,0.18651363,0.119081779,0.218077475,0.098995696,0.06312769,0.070301291,0.043041607,0.897366511
HK67,CI,1063,454322,116,0.151458137,1.4842892,16,4.438736896,2,6/2/20,6/7/22,p2,22.437247,114.221305,yes,1217,0.873459326,126,84,50,37,59,60,42,476,587,0.214650767,0.143100511,0.085178876,0.063032368,0.100511073,0.102214651,0.071550256,0.883165363
HK68,TPC,936,369059,56,0.176282051,4.521360846,37,13.38861223,1,6/2/20,1/10/23,p3,22.542789,114.43738,yes,1050.142857,0.891307305,111,69,85,76,41,43,30,366,570,0.194736842,0.121052632,0.149122807,0.133333333,0.071929825,0.075438596,0.052631579,0.88202582
HK69,TPC,1313,532198,142,0.137852247,5.703916141,53,16.61085489,1,6/2/20,6/14/22,p2,22.542789,114.43738,yes,1217,1.078882498,123,104,107,80,69,52,37,591,722,0.170360111,0.144044321,0.148199446,0.110803324,0.095567867,0.072022161,0.051246537,0.867351632
HK7,CI,630,313844,44,0.201587302,1.653596161,16,5.183752832,2,5/1/15,10/1/17,toloARMS,22.437247,114.221305,yes,459,1.37254902,45,68,34,30,25,31,21,320,310,0.14516129,0.219354839,0.109677419,0.096774194,0.080645161,0.1,0.067741935,0.848906429
HK70,TPC,1121,443476,98,0.157894737,4.727273906,42,13.8359207,1,6/2/20,6/14/22,p2,22.542789,114.43738,yes,1217,0.921117502,133,88,75,82,70,47,34,464,657,0.202435312,0.133942161,0.114155251,0.124809741,0.106544901,0.071537291,0.051750381,0.873581346
HK71,TPC,1097,372869,55,0.156791249,4.666038756,38,13.753914,1,6/2/20,1/13/23,p3,22.542789,114.43738,yes,1050.142857,1.04461978,115,87,93,99,38,56,37,451,646,0.178018576,0.134674923,0.143962848,0.153250774,0.058823529,0.086687307,0.057275542,0.886553559
HK72,TPC,909,365756,51,0.167216722,4.278437387,38,12.95273355,1,6/2/20,1/13/23,p3,22.542789,114.43738,yes,1050.142857,0.865596517,108,80,83,70,31,45,36,374,535,0.201869159,0.14953271,0.155140187,0.130841121,0.057943925,0.08411215,0.06728972,0.874090295
HK73,NP,1128,488510,128,0.142730496,3.669772038,35,10.98702495,3,6/4/20,6/9/22,p2,22.259332,114.350815,yes,1217,0.926869351,179,91,39,79,45,34,42,502,626,0.285942492,0.145367412,0.062300319,0.126198083,0.071884984,0.054313099,0.067092652,0.872918879
HK74,CDA,1008,402769,98,0.166666667,4.072395261,36,12.0314864,3,6/4/20,1/20/23,p3,22.20715,114.256385,yes,1050.142857,0.959869406,133,108,28,35,29,33,43,493,515,0.258252427,0.209708738,0.054368932,0.067961165,0.05631068,0.06407767,0.083495146,0.882370911
HK75,SK,1443,507463,166,0.117810118,1.353271888,14,3.601612915,3,6/4/20,6/6/22,p2,22.369821,114.324038,yes,1217,1.185702547,148,101,167,93,78,43,37,634,809,0.182941904,0.124845488,0.206427689,0.114956737,0.096415328,0.05315204,0.045735476,0.891024349
HK76,CDA,950,475366,54,0.186315789,3.80440873,35,10.9642241,3,6/4/20,1/16/23,p3,22.20715,114.256385,yes,1050.142857,0.904638825,125,98,36,51,41,37,37,444,506,0.247035573,0.193675889,0.071146245,0.100790514,0.081027668,0.07312253,0.07312253,0.876359981
HK77,CDA,707,349575,30,0.224893918,4.259193523,33,12.22334931,3,6/4/20,1/16/23,p3,22.20715,114.256385,yes,1050.142857,0.673241736,102,59,13,40,26,31,22,340,367,0.277929155,0.160762943,0.035422343,0.108991826,0.070844687,0.084468665,0.059945504,0.863133834
HK78,CDA,863,356554,46,0.195828505,4.066208561,33,11.81002337,3,6/4/20,1/17/23,p3,22.20715,114.256385,yes,1050.142857,0.821792953,116,84,13,35,43,28,28,426,437,0.265446224,0.19221968,0.029748284,0.080091533,0.098398169,0.064073227,0.064073227,0.870615097
HK79,CDA,1262,517855,97,0.140253566,3.373320986,29,9.726907254,3,6/4/20,6/2/22,p2,22.20715,114.256385,yes,1217,1.036976171,190,115,48,47,72,40,38,582,680,0.279411765,0.169117647,0.070588235,0.069117647,0.105882353,0.058823529,0.055882353,0.881875058
HK8,CI,377,264938,32,0.206896552,1.19565337,12,4.495517729,2,5/1/15,10/1/17,toloARMS,22.437247,114.221305,yes,459,0.821350763,27,38,20,9,18,11,8,214,163,0.165644172,0.233128834,0.122699387,0.055214724,0.110429448,0.067484663,0.049079755,0.809734259
HK80,CI,958,485599,87,0.176409186,1.411431142,15,3.985774293,2,6/4/20,6/7/22,p2,22.437247,114.221305,yes,1217,0.787181594,108,94,69,44,53,36,25,430,528,0.204545455,0.178030303,0.130681818,0.083333333,0.100378788,0.068181818,0.047348485,0.871226294
HK81,CDA,1145,380170,123,0.139737991,3.779130461,32,11.32916014,3,6/4/20,6/2/22,p2,22.20715,114.256385,yes,1217,0.940838127,162,94,38,53,51,30,29,573,572,0.283216783,0.164335664,0.066433566,0.092657343,0.089160839,0.052447552,0.050699301,0.880507639
HK82,CDA,973,404208,57,0.184994861,4.47955207,38,12.94645023,3,6/4/20,1/19/23,p3,22.20715,114.256385,yes,1050.142857,0.926540607,130,103,37,51,42,36,45,423,550,0.236363636,0.187272727,0.067272727,0.092727273,0.076363636,0.065454545,0.081818182,0.886703936
HK83,LM,1140,469650,71,0.161403509,4.68404747,39,13.56561565,3,6/4/20,6/1/22,p2,22.220233,114.127634,yes,1217,0.936729663,182,107,42,48,62,50,35,486,654,0.278287462,0.163608563,0.064220183,0.073394495,0.094801223,0.076452599,0.05351682,0.88067524
HK84,CDA,1069,366781,68,0.167446211,1.984856417,16,5.55658377,3,6/4/20,1/19/23,p3,22.20715,114.256385,yes,1050.142857,1.017956741,129,106,31,40,40,42,57,486,583,0.221269297,0.181818182,0.053173242,0.068610635,0.068610635,0.072041166,0.097770154,0.891771394
HK85,CC,899,348058,84,0.159065628,0.89447162,11,3.018666453,4,6/4/20,6/13/22,p2,22.214678,114.030886,yes,1217,0.738701726,150,91,24,28,40,28,49,357,542,0.276752768,0.167896679,0.044280443,0.051660517,0.073800738,0.051660517,0.090405904,0.875102638
HK86,CDA,1011,395842,60,0.177052423,4.791519769,41,13.94237212,3,6/4/20,1/17/23,p3,22.20715,114.256385,yes,1050.142857,0.96272616,151,98,25,44,49,43,50,429,582,0.259450172,0.16838488,0.042955326,0.075601375,0.08419244,0.073883162,0.085910653,0.879621542
HK87,CDA,1135,469484,122,0.145374449,3.362418588,30,9.982330173,3,6/4/20,1/20/23,p3,22.20715,114.256385,yes,1050.142857,1.080805333,155,106,43,46,40,20,41,554,581,0.266781411,0.182444062,0.074010327,0.079173838,0.068846816,0.034423408,0.070567986,0.884229054
HK88,PC,839,407553,52,0.178784267,1.185190723,14,3.632312388,4,6/4/20,6/16/22,p2,22.28991,114.034393,yes,1217,0.689400164,124,87,27,30,33,37,52,326,513,0.2417154,0.169590643,0.052631579,0.058479532,0.064327485,0.072124756,0.101364522,0.86461843
HK89,CDA,1220,463076,84,0.149180328,4.33948238,39,12.55567232,3,6/4/20,6/24/21,p1,22.20715,114.256385,yes,1387.5,0.879279279,192,119,49,50,49,46,41,537,683,0.281112738,0.174231332,0.071742313,0.073206442,0.071742313,0.067349927,0.060029283,0.877312393
HK9,CI,470,223368,42,0.178723404,1.122451128,12,4.622065516,2,5/1/15,10/1/17,toloARMS,22.437247,114.221305,yes,459,1.023965142,39,46,33,10,23,10,12,251,219,0.178082192,0.210045662,0.150684932,0.0456621,0.105022831,0.0456621,0.054794521,0.833582348
HK90,CDA,1357,505804,90,0.140751658,3.85558205,31,10.85941341,3,6/4/20,6/24/21,p1,22.20715,114.256385,yes,1387.5,0.978018018,220,136,23,79,70,53,43,584,773,0.284605433,0.175937904,0.029754204,0.102199224,0.090556274,0.068564036,0.055627426,0.886439021
